order_id,user_id,total_amount,order_date
99,48,1118.75,2026-01-07 00:00:00
100,71,599.02,2026-01-20 00:00:00
101,69,912.55,2026-01-17 00:00:00
102,11,1864.52,2026-01-20 00:00:00
103,71,0.0,2026-01-08 00:00:00
104,25,19.65,2026-01-03 00:00:00
105,68,1004.2,2026-01-20 00:00:00
106,35,466.52,2026-01-09 00:00:00
107,18,3034.21,2026-01-04 00:00:00
108,71,656.73,2026-01-31 00:00:00
109,67,789.69,2026-01-14 00:00:00
110,42,2357.76,2026-01-27 00:00:00
111,1,1021.53,2026-01-11 00:00:00
112,44,353.54,2026-01-30 00:00:00
113,56,0.0,2026-01-30 00:00:00
114,88,1628.02,2026-01-31 00:00:00
115,68,2535.15,2026-01-07 00:00:00
116,44,1118.75,2026-01-24 00:00:00
117,61,1813.28,2026-01-27 00:00:00
118,5,2980.3,2026-01-29 00:00:00
119,48,2103.15,2026-01-24 00:00:00
120,32,768.8,2026-01-18 00:00:00
121,55,1033.43,2026-01-25 00:00:00
122,65,257.2,2026-01-12 00:00:00
123,42,0.0,2026-01-03 00:00:00
124,6,0.0,2026-01-28 00:00:00
125,69,1319.78,2026-01-31 00:00:00
126,25,318.42,2026-01-30 00:00:00
127,57,7903.19,2026-01-15 00:00:00
128,27,128.6,2026-01-26 00:00:00
129,30,184.47,2026-01-31 00:00:00
130,55,0.0,2026-01-12 00:00:00
131,57,0.0,2026-01-07 00:00:00
132,78,912.55,2026-01-03 00:00:00
133,89,4332.98,2026-01-02 00:00:00
134,41,3081.85,2026-01-25 00:00:00
135,38,477.31,2026-01-27 00:00:00
136,13,505.44,2026-01-30 00:00:00
137,44,0.0,2026-01-09 00:00:00
138,87,2380.43,2026-01-25 00:00:00
139,42,883.85,2026-01-17 00:00:00
140,9,0.0,2026-01-18 00:00:00
141,18,1265.01,2026-01-02 00:00:00
142,78,2065.29,2026-01-28 00:00:00
143,4,1094.55,2026-01-21 00:00:00
144,5,4102.87,2026-01-12 00:00:00
145,33,4138.55,2026-01-06 00:00:00
146,25,1216.95,2026-01-18 00:00:00
147,83,0.0,2026-01-05 00:00:00
148,11,1886.29,2026-01-06 00:00:00
149,19,1557.47,2026-01-10 00:00:00
150,78,1672.69,2026-01-16 00:00:00
